内容,url,发布日期,发布人,
经查，该微博称“加拿大竟然说阿里巴巴捐给他们的口罩不符合标准”不实，@新浪科技 ：当地时间3月31日，加拿大总理特鲁多@特鲁多_JustinTrudeau 出席例行记者会，期间他特别对中国企业捐赠表示感谢，详情：https://weibo.com/1642634100/IBhyeeTsK，被举报人言论属于构成“发布不实信息”，现根据《微博举报投诉操作细则》（http://service.account.weibo.com/roles/guiding）第19条，对被举报人处理如下：扣除信用积分2分。上述处理在公布后60分钟内生效。,3月30日,罗爷说法-law ,https://weibo.com/3180426430/IB2sYljXF?type=comment#_rnd1603881920177,84
经查，该微博发视频称“加拿加总理特鲁多的夫人发了一段自拍视频”不实，@海客新闻 报道：3月16日，英国伦敦一名39岁女子感染新冠肺炎后在重症监护室拍下视频发给同事，警告人们重视疫情，别再心存侥幸，以健康犯险，详情：https://weibo.com/7360594450/Izskv5HQG，被举报人言论属于构成“发布不实信息”，且情节恶劣。现根据《微博举报投诉操作细则》（http://service.account.weibo.com/roles/guiding）第19条，对被举报人处理如下：扣除信用积分5分，禁言7天，禁被关注7天。上述处理在公布后60分钟内生效。,3月31日,厦门晓薇 ,https://weibo.com/6124545540/IB6UOxSkY?type=comment,185
经查，此微博视频称“美国疫情已经开始爆发，黑人区也开始打砸抢了”不实。据@捉谣记 查证：这则消息发布于2011年9月，报道中这张照片与网传视频几乎一致。详情：https://weibo.com/6590980486/IzOohscr9 被举报人言论构成“发布不实信息”，且情节恶劣。现根据《微博举报投诉操作细则》（<http://service.account.weibo.com/roles/guiding>）第19条，对被举报人处理如下：扣除信用积分10分，禁言15天，禁被关注15天。上述处理在公布后60分钟内生效。,3月22日,西子丹聊斋 ,https://weibo.com/3675736060/IzOpZxQck?type=comment,304
经查，此微博配图称“俄罗斯在全国投放800只狮子老虎确保人们疫情期间待在家”不实。据@捉谣记 查证：俄罗斯并未做出投放800只老虎狮子的举措，消息所配图片是2016年南非约翰内斯堡的一家电影公司拍电影时的画面。详情：https://weibo.com/6590980486/IzVnCej47 被举报人言论构成“发布不实信息”，且情节恶劣。现根据《微博举报投诉操作细则》（<http://service.account.weibo.com/roles/guiding>）第19条，对被举报人处理如下：扣除信用积分2分。上述处理在公布后60分钟内生效。,3月22日,玩车TV ,https://weibo.com/5986066272/IzQ3z5dbl?type=comment#_rnd1603974728476,146
经查，此微博配图称“俄罗斯在全国投放800只狮子老虎确保人们疫情期间待在家”不实。据@捉谣记 查证：俄罗斯并未做出投放800只老虎狮子的举措，消息所配图片是2016年南非约翰内斯堡的一家电影公司拍电影时的画面。详情：https://weibo.com/6590980486/IzVnCej47 被举报人言论构成“发布不实信息”。现根据《微博举报投诉操作细则》（<http://service.account.weibo.com/roles/guiding>）第19条，对被举报人处理如下：扣除信用积分2分。上述处理在公布后60分钟内生效,3月23日,小逗比神吐槽,https://weibo.com/2476481021/IzUQPceLo?type=comment#_rnd1603975033251,113
经查，该微博发视频称“回国女子拒绝安检怒斥民警”一事，实际报道于2018年01月，详情：http://news.sina.com.cn/o/2018-01-18/doc-ifyquixe3844617.shtml，被举报人言论属于“过期信息”，构成“发布不实信息”，且情节恶劣，现根据《微博举报投诉操作细则》（http://service.account.weibo.com/roles/guiding）第19条，对被举报人处理如下：扣除信用积分10分，禁言15天，禁被关注15天。上述处理在公布后60分钟内生效。,3月21日,北京的晖子,https://weibo.com/2196096201/IzDheq4Cc?type=comment,71
经查，该微博称“美国的10艘医疗军舰已经开进纽约港”不实，@捉谣记 已辟谣：美国总统特朗普3月18日宣布将分别派遣医疗船前往纽约港和西岸地区，以缓解当地医疗力量不足。目前美国海军拥有两艘医疗船，每艘医疗船能放置1000张病床，详情：https://weibo.com/6590980486/Izvx0lmFG，被举报人言论属于构成“发布不实信息”，现根据《微博举报投诉操作细则》（http://service.account.weibo.com/roles/guiding）第19条，对被举报人处理如下：扣除信用积分5分，禁言7天，禁被关注7天。上述处理在公布后60分钟内生效。,3月21日,金亚 ,https://weibo.com/1294007270/IzB3Bv6Jt?type=comment#_rnd1603975524495,297
经查，该微博称“美国的10艘医疗军舰已经开进纽约港”不实，@捉谣记 已辟谣：美国总统特朗普3月18日宣布将分别派遣医疗船前往纽约港和西岸地区，以缓解当地医疗力量不足。目前美国海军拥有两艘医疗船，每艘医疗船能放置1000张病床，详情：https://weibo.com/6590980486/Izvx0lmFG，被举报人言论属于构成“发布不实信息”，现根据《微博举报投诉操作细则》（http://service.account.weibo.com/roles/guiding）第19条，对被举报人处理如下：扣除信用积分5分，禁言7天，禁被关注7天。上述处理在公布后60分钟内生效。,3月21日,恩威特监控专家 ,https://weibo.com/3722570854/IzBx8ntA9?type=comment,67
经查，该微博称“美国35艘医疗舰已开赴各沿海港口”不实，@捉谣记 已辟谣：美国总统特朗普3月18日宣布将分别派遣医疗船前往纽约港和西岸地区，以缓解当地医疗力量不足。目前美国海军拥有两艘医疗船，每艘医疗船能放置1000张病床，详情：https://weibo.com/6590980486/Izvx0lmFG，被举报人言论属于构成“发布不实信息”，现根据《微博举报投诉操作细则》（http://service.account.weibo.com/roles/guiding）第19条，对被举报人处理如下：扣除信用积分5分，禁言7天，禁被关注7天。上述处理在公布后60分钟内生效。,3月20日,牛春宝,https://weibo.com/1320153481/IzvqNB02H?type=comment,65
经查，此微博配图称“180座战地医院，一夜之间遍及全美。”不实，该配图有明显PS痕迹抹去了斯洛文尼亚国旗，且在2014年原图就已出现。详情：http://t.cn/A6zug0CJ，被举报人言论构成“发布不实信息”，且情节恶劣。现根据《微博举报投诉操作细则》（<>）第19条，对被举报人处理如下：扣除信用积分10分，禁言15天，禁被关注15天。上述处理在公布后60分钟内生效。,3月21日,江濡山,https://weibo.com/1133418130/IzxNQ7rAR?type=comment#_rnd1604025476795,1711
经查，该微博称“美国的10艘医疗军舰已经开进纽约港”不实，@捉谣记 已辟谣：美国总统特朗普3月18日宣布将分别派遣医疗船前往纽约港和西岸地区，以缓解当地医疗力量不足。目前美国海军拥有两艘医疗船，每艘医疗船能放置1000张病床，详情：https://weibo.com/6590980486/Izvx0lmFG，被举报人言论属于构成“发布不实信息”，现根据《微博举报投诉操作细则》（http://service.account.weibo.com/roles/guiding）第19条，对被举报人处理如下：扣除信用积分5分，禁言7天，禁被关注7天。上述处理在公布后60分钟内生效。,3月20日,画画的老武,https://weibo.com/6686773484/IzvUAb9yT?type=comment,66
经查，该微博称“美国的10艘医疗军舰已经开进纽约港”不实，@捉谣记 已辟谣：美国总统特朗普3月18日宣布将分别派遣医疗船前往纽约港和西岸地区，以缓解当地医疗力量不足。目前美国海军拥有两艘医疗船，每艘医疗船能放置1000张病床，详情：https://weibo.com/6590980486/Izvx0lmFG，被举报人言论属于构成“发布不实信息”，现根据《微博举报投诉操作细则》（http://service.account.weibo.com/roles/guiding）第19条，对被举报人处理如下：扣除信用积分5分，禁言7天，禁被关注7天。上述处理在公布后60分钟内生效,3月20日,赵宏民,https://weibo.com/1329201253/IzxatoAoA?type=comment,235
经查，该微博称“美国的10艘医疗军舰已经开进纽约港”不实，@捉谣记 已辟谣：美国总统特朗普3月18日宣布将分别派遣医疗船前往纽约港和西岸地区，以缓解当地医疗力量不足。目前美国海军拥有两艘医疗船，每艘医疗船能放置1000张病床，详情：https://weibo.com/6590980486/Izvx0lmFG，被举报人言论属于构成“发布不实信息”，现根据《微博举报投诉操作细则》（http://service.account.weibo.com/roles/guiding）第19条，对被举报人处理如下：扣除信用积分10分，禁言15天，禁被关注15天。上述处理在公布后60分钟内生效。,3月20日,张牟谋,https://weibo.com/3047494607/IztdxqdxP?type=comment,434
经查，该微博发视频称“马来西亚巫师病床作法抓新冠病毒”不实，@天津辟谣 已辟谣：“经查证，这是个老视频，和新冠病毒毫无关系。在外网上能够找见的最初版本是2018年11月4日，并未附带马来西亚、巫师、病毒等信息。详情：https://weibo.com/7330126026/IyPSlzIJt，被举报人言论属于构成“发布不实信息”，现根据《微博举报投诉操作细则》（http://service.account.weibo.com/roles/guiding）第19条，对被举报人处理如下：扣除信用积分5分，禁言7天，禁被关注7天。上述处理在公布后60分钟内生效,3月9日,台湾那点事儿 ,https://weibo.com/6067139463/IxMS4CUf5?type=comment,89
经查，该微博称“石正丽凌晨发出警告：对疫情不必抱有太大乐观，蚊虫或成第三宿主”不实，@环球网 已报道：武汉病毒所辟谣石正丽“蚊虫或成第三宿主”言论，石正丽研究员从未发布过任何相关信息，详情：https://weibo.com/1686546714/Iz33N9J1h，被举报人言论属于构成“发布不实信息”，现根据《微博举报投诉操作细则》（http://service.account.weibo.com/roles/guiding）第19条，对被举报人处理如下：扣除信用积分5分，禁言7天，禁被关注7天。上述处理在公布后60分钟内生效。,3月17日,少帅的点评 ,https://weibo.com/7405340395/Iz1Zpg6V6?type=comment,219
经查，该微博称“回国治新冠肺炎，不免费想投诉”不实，@求真栏目 已辟谣：“回国治新冠肺炎，不免费想投诉”系杜撰，随后，该帖发布者道歉，承认其为蹭流量编造小故事，详情：https://weibo.com/3464023154/IySTAycMQ，被举报人言论属于构成“发布不实信息”，现根据《微博举报投诉操作细则》（http://service.account.weibo.com/roles/guiding）第19条，对被举报人处理如下：扣除信用积分5分，禁言7天，禁被关注7天。上述处理在公布后60分钟内生效。,3月15日,连锋医生,https://weibo.com/2204260377/IyLnZlfIi?type=comment#_rnd1604026445480,101
经查，此微博称“意大利外交部长指责华春莹在Twitter散播假消息”不实，据@观察者网：内容系意大利一家网络媒体自己发布“罗马上空放中国国歌”的视频是“假的”，意大利外交部和外长迪马约应该知道这事。压根不是意大利外长指责中国外交官。详情：https://weibo.com/1887344341/IyViMmikD，被举报人言论构成“发布不实信息”。现根据《微博举报投诉操作细则》（<http://service.account.weibo.com/roles/guiding>）第19条，对被举报人处理如下：扣除信用积分20分，禁言并禁被关注30天。上述处理在公布后60分钟内生效。,3月16日,中华之鹰01 ,https://weibo.com/6373105193/IySaAwmqa?type=comment#_rnd1604050704868,1476
经查，此微博配视频称“8小时前，川皇几乎晕倒，取消了后续全部安排”不实，视频内容实际发生在2016年，特朗普演讲中被紧急拉下台。详情：https://news.china.com/zh_cn/hd/11127798/20161106/23854688.html 被举报人言论构成“发布不实信息”且，且情节恶劣。现根据《微博举报投诉操作细则》（<http://service.account.weibo.com/roles/guiding>）第19条，对被举报人处理如下：扣除信用积分5分，禁言7天，禁被关注7天。上述处理在公布后60分钟内生效,3月15日,浪迹天涯律师 ,https://weibo.com/6115248076/IyLOky7BZ?type=comment,50
经查，此微博称“日本在调运中国捐赠的2000检测试剂盒中，用的是美国运输机，到达目的地，才发现这批检测试剂盒已经被运到美国本土”等内容不实，据@观察者网 查证为假消息。详情：https://weibo.com/1887344341/IxOlJwywn，被举报人言论构成“发布不实信息”。现根据《微博举报投诉操作细则》（<http://service.account.weibo.com/roles/guiding>）第19条，对被举报人处理如下：扣除信用积分2分。上述处理在公布后60分钟内生效。,3月14日,AC蓦然回首 ,https://weibo.com/1686199162/IytQFcFmm?type=comment,122
经查，此微博配视频称“日本在调运中国捐赠的2000检测试剂盒中，用的是美国运输机……”不实，据@观察者网 查证为假消息。详情：https://weibo.com/1887344341/IxOlJwywn，被举报人言论构成“发布不实信息”。现根据《微博举报投诉操作细则》（<http://service.account.weibo.com/roles/guiding>）第19条，对被举报人处理如下：扣除信用积分2分。上述处理在公布后60分钟内生效。,3月13日,一定要幸福ZF ,https://weibo.com/1947652792/IynIerirI?type=comment,66
经查，此微博配图称“广州的黑人城管正式上岗”不实，图片所示实际为2012年在安徽合肥的外国留学生受聘为城市管理志愿者，与城管一起上街执法。详情：http://news.163.com/photoview/00AP0001/25548.html#p=86HEAF2B00AP0001，被举报人言论构成“发布不实信息”。现根据《微博举报投诉操作细则》（<http://service.account.weibo.com/roles/guiding>）第19条，对被举报人处理如下：扣除信用积分5分，禁言7天，禁被关注7天。上述处理在公布后60分钟内生效。,3月12日,天涯当年小帅 ,https://weibo.com/1689733475/Iyh2SrmDY?type=comment#_rnd1604051297940,63
经查，该微博配图称“2020年的两院院士评选，屠呦呦教授再次落选。”不实，@捉谣记 已辟谣：经核实，2020年并非增选院士的年份，两院院士去年刚刚增选过一轮，且屠呦呦并没有参选。详情：https://weibo.com/6590980486/IwtbnatRP，被举报人言论属于构成“发布不实信息”，现根据《微博举报投诉操作细则》（http://service.account.weibo.com/roles/guiding）第19条，对被举报人处理如下：扣除信用积分10分，禁言15天，禁被关注15天。上述处理在公布后60分钟内生效。,3月8日,股市女人,https://weibo.com/5631443851/IxFlBlu8Q?type=comment#_rnd1604107706030,125
经查，此微博配图称“中国人又回来了，摇身一变，变成了外国人在中国的永居 ”不实，图片内容实际为嫁给中国人13年的越南媳妇，以及中国老公和她生的女儿，获中国“绿卡”。详情：http://local.newssc.org/system/20190111/002592029.htm 被举报人言论构成“发布不实信息”。现根据《微博举报投诉操作细则》（<http://service.account.weibo.com/roles/guiding>）第19条，对被举报人处理如下：扣除信用积分5分，禁言7天，禁被关注7天。上述处理在公布后60分钟内生效。,3月6日,孙万宝 ,https://weibo.com/38722663/IxkP9EgF5?type=comment#_rnd1604108002517,386
经查，此微博称“2月4日：429死/确诊20471≈2.1%，2月5日：493死/确诊24441≈2.1%神奇的病毒，还是个数学高手”不实，据新浪新闻肺炎实时动态： 2月4日确诊 20523，死亡 426，2月5日全国确诊24433，死亡 493。此微博多项数据为作者伪造，详情：https://news.sina.cn/zt_d/yiqing0121，被举报人言论属于构成“发布不实信息”。现根据《微博举报投诉操作细则》（http://service.account.weibo.com/roles/guiding）第19条，对被举报人处理如下：禁言30天。上述处理在公布后60分钟内生效。,2月7日,一口一个小孩- ,https://weibo.com/6035229855/It0GFc4Wz?type=comment#_rnd1604108058524,113
经查，该微博发视频称“华春莹:那些背叛祖国的明星禁止使用中国护照”不实，经核实该微博视频内容为后期配音合成，被举报人言论属于构成“发布不实信息”，现根据《微博举报投诉操作细则》（http://service.account.weibo.com/roles/guiding）第19条，对被举报人处理如下：扣除信用积分10分，禁言15天，禁被关注15天。上述处理在公布后60分钟内生效,3月2日,赵林-甘露公益 ,https://weibo.com/1074273855/IwFJ6dsuQ?type=comment,570
经查，该微博配图称“2020年的两院院士评选，屠呦呦教授再次落选。”不实，@捉谣记 已辟谣：经核实，2020年并非增选院士的年份，两院院士去年刚刚增选过一轮，且屠呦呦并没有参选。详情：https://weibo.com/6590980486/IwtbnatRP，被举报人言论属于构成“发布不实信息”，现根据《微博举报投诉操作细则》（http://service.account.weibo.com/roles/guiding）第19条，对被举报人处理如下：扣除信用积分10分，禁言15天，禁被关注15天。上述处理在公布后60分钟内生效。,2月26日,暴哥猛料 ,https://weibo.com/5074648251/Iw1Ra1oFX?type=comment#_rnd1604109163847,198
经查，该微博称“2020年的两院院士评选，屠呦呦再次落选。”不实，@捉谣记 已辟谣：经核实，2020年并非增选院士的年份，两院院士去年刚刚增选过一轮，且屠呦呦并没有参选。详情：https://weibo.com/6590980486/IwtbnatRP，被举报人言论属于构成“发布不实信息”，现根据《微博举报投诉操作细则》（http://service.account.weibo.com/roles/guiding）第19条，对被举报人处理如下：扣除信用积分5分，禁言7天，禁止被关注7天。上述处理在公布后60分钟内生效。,2月27日,推特云飞扬 ,https://weibo.com/2736135571/Iw7BiiT17?type=comment#_rnd1604195078015,315
经查，该微博配图称“2020年的两院院士评选，屠呦呦再次落选。”不实，@捉谣记 已辟谣：经核实，2020年并非增选院士的年份，两院院士去年刚刚增选过一轮，且屠呦呦并没有参选。详情：https://weibo.com/6590980486/IwtbnatRP，被举报人言论属于构成“发布不实信息”，现根据《微博举报投诉操作细则》（http://service.account.weibo.com/roles/guiding）第19条，对被举报人处理如下：扣除信用积分2分。上述处理在公布后60分钟内生效。,2月26日,马跃成 ,https://weibo.com/1224900857/Iw1BhEBNC?type=comment#_rnd1604195160873,60
经查，该微博配图称“2020年的两院院士评选，屠呦呦教授再次落选。”不实，@捉谣记 已辟谣：经核实，2020年并非增选院士的年份，两院院士去年刚刚增选过一轮，且屠呦呦并没有参选。详情：https://weibo.com/6590980486/IwtbnatRP，被举报人言论属于构成“发布不实信息”，现根据《微博举报投诉操作细则》（http://service.account.weibo.com/roles/guiding）第19条，对被举报人处理如下：扣除信用积分10分，禁言15天，禁被关注15天。上述处理在公布后60分钟内生效。,2月29日,罗昌平 ,https://weibo.com/1646068663/IwqT2lIyz?type=comment#_rnd1604195288284,1149
经查，该微博称“打麻将被要求抬桌子走10公里处罚”不实，@宁波网警巡查执法 已辟谣：经核实，该情况发生于重庆市梁平区合兴镇，涉案当事人表示“公安机关念在我们初犯，就叫我们回去把麻将桌抬到派出所去，等疫情过去之后再将桌子搬回去”，详情：https://weibo.com/5617894057/IvgDQq6A2，被举报人言论属于构成“发布不实信息”，现根据《微博举报投诉操作细则》（http://service.account.weibo.com/roles/guiding）第19条，对被举报人处理如下：扣除信用积分2分。上述处理在公布后60分钟内生效,2月23日,武汉刘正涛 ,https://weibo.com/2014878391/Ivu3kfsdQ?type=comment,59
经查，此微博配图称“当年支援汶川地震的救灾物资都没发完，全烂在仓库里了 ”不实，据央视网：部分物资在运输途中突然下雨，被淋湿后未保护处理导致霉变。详情：http://news.cntv.cn/2014/04/29/ARTI1398773783952383.shtml。被投诉人言论构成“发布不实信息”。现根据《微博投诉操作细则》（http://service.account.weibo.com/roles/xize）第19条，对被投诉人处理如下：扣除信用积分5分、禁言7天、禁被关注7天。上述处理在公布后60分钟内生效,2月18日,扒圈少女爱吃瓜 ,https://weibo.com/6171732604/IuNfEBqkV?type=comment#_rnd1604196271016,135
经查，该微博称“乱上街的被抓去体育馆考黄冈密卷”不实，@黄冈政府门户网 已辟谣：武穴市武穴市疫情防控指挥部工作人员回应称，学习内容主要是这次新冠肺炎的防疫知识，比如公共场所应该怎么防护，我们会准备好操作文本，学习时间也不会很久，详情：https://weibo.com/5308838679/IuD9zl5OW，被举报人言论属于构成“发布不实信息”，现根据《微博举报投诉操作细则》（http://service.account.weibo.com/roles/guiding）第19条，对被举报人处理如下：扣除信用积分5分。上述处理在公布后60分钟内生效。,2月16日,橘子娱乐 ,https://weibo.com/5291824241/Iuw7fA7E4?type=comment#_rnd1604196711811,486
经查，该微博称“乱上街的被抓去体育馆考黄冈密卷”不实，@黄冈政府门户网 已辟谣：武穴市武穴市疫情防控指挥部工作人员回应称，学习内容主要是这次新冠肺炎的防疫知识，比如公共场所应该怎么防护，我们会准备好操作文本，学习时间也不会很久，详情：https://weibo.com/5308838679/IuD9zl5OW，被举报人言论属于构成“发布不实信息”，现根据《微博举报投诉操作细则》（http://service.account.weibo.com/roles/guiding）第19条，对被举报人处理如下：扣除信用积分5分，禁言7天，禁被关注7天。上述处理在公布后60分钟内生效。,2月16日,我不吃香菜捏 ,https://weibo.com/6761728963/IuvMxobEP?type=comment#_rnd1604196775505,250
经查，该微博称“乱上街的被抓去体育馆考黄冈密卷”不实，@黄冈政府门户网 已辟谣：武穴市武穴市疫情防控指挥部工作人员回应称，学习内容主要是这次新冠肺炎的防疫知识，比如公共场所应该怎么防护，我们会准备好操作文本，学习时间也不会很久，详情：https://weibo.com/5308838679/IuD9zl5OW，被举报人言论属于构成“发布不实信息”，现根据《微博举报投诉操作细则》（http://service.account.weibo.com/roles/guiding）第19条，对被举报人处理如下：扣除信用积分10分，禁言15天，禁被关注15天。上述处理在公布后60分钟内生效。,2月16日,五行属二 ,https://weibo.com/1790597487/Iuw5YnvnL?type=comment#_rnd1604196815986,5878
经查，此微博发视频称“武汉一天集中2次消杀”不实，实际镜头是洛阳全城消毒，第七秒钟画面右侧有明显的“洛阳市民之家”霓虹灯，该建筑位于洛阳新区开元大道。@洛阳晚报 已报道此事。详情：https://weibo.com/1260407871/ItrsdgF6d，被举报人言论构成“发布不实信息”。现根据《微博举报投诉操作细则》（<http://service.account.weibo.com/roles/guiding>）第19条，对被举报人处理如下：扣除信用积分5分，禁言7天，禁被关注7天。上述处理在公布后60分钟内生效,2月12日,扑街食蕉拉你,https://weibo.com/5492150539/ItQzsCINP?type=comment,198
经查，该视频所称“武汉重症隔离病房里，一个小朋友对医生说的话”，实为电影《倾城之泪》中的片段，出现在影片第30分30秒，影片地址：http://t.cn/A6Pm2ILJ，被举报人言论属于构成“发布不实信息”，现根据《微博举报投诉操作细则》（）第19条，对被举报人处理如下：扣除信用积分2分。上述处理在公布后60分钟内生效。,2月7日,第三华佗 ,https://weibo.com/2528366075/It8EufXmN?type=comment,55
经查，此微博称“武汉市古田四路某小区今天上午在家满屋喷洒酒精消毒，用明火起暖”不实，实为句容市一处门面房发生火灾。详情：https://weibo.com/2097024354/IsXfvfboI，被举报人言论构成“发布不实信息”。现根据《微博举报投诉操作细则》（<http://service.account.weibo.com/roles/guiding>）第19条，对被举报人处理如下：扣除信用积分2分。上述处理在公布后60分钟内生效。,2月7日,张亚梅整形医生,https://weibo.com/2418358297/It4xXeTYQ?type=comment#_rnd1604228682536,54
经查，此微博称“2月4日：429死/确诊20471≈2.1%，2月5日：493死/确诊24441≈2.1%神奇的病毒，还是个数学高手”不实，据新浪新闻肺炎实时动态： 2月4日确诊 20523，死亡 426，2月5日全国确诊24433，死亡 493。此微博多项数据为作者伪造，详情：https://news.sina.cn/zt_d/yiqing0121，被举报人言论属于构成“发布不实信息”。现根据《微博举报投诉操作细则》（http://service.account.weibo.com/roles/guiding）第19条，对被举报人处理如下：禁言15天。上述处理在公布后60分钟内生效。,2月6日,金山二姐,https://weibo.com/1726924044/IsXvm61SV?type=comment#_rnd1604228777465,79
经查，该微博发视频称“武汉因感染被隔离的宝宝，看到医生后求抱抱”不实，@央视新闻 已报道：孩子的父亲说，自己孩子得的不是肺炎，是白血病。详情：https://weibo.com/2656274875/IsUsem5K3，被举报人言论属于构成“发布不实信息”，且情节恶劣。现根据《微博举报投诉操作细则》（http://service.account.weibo.com/roles/guiding）第19条，对被举报人处理如下：扣除信用积分10分，禁言30天，禁被关注30天。上述处理在公布后60分钟内生效。,2月5日,军控团,https://weibo.com/5889124938/IsHpmkE51?type=comment,504
经查，此微博称“办过万人宴的武汉百步亭社区，组织的中百超市免费发菜活动，于是看到排队聚集领菜的人群望不到头”不实，据@武汉发布：实为市民排队等候测体温进店。详情：https://weibo.com/2759348142/IsER55nMC，被举报人言论构成“发布不实信息”。现根据《微博举报投诉操作细则》（<http://service.account.weibo.com/roles/guiding>）第19条，对被举报人处理如下：扣除信用积分2分。上述处理在公布后60分钟内生效。,2月4日,张不三 ,https://weibo.com/1776420361/IsEyB7oD3?type=comment#_rnd1604229650865,64
经查，此微博称“经特朗普总统特批，同意将该药物专利豁免，向中国紧急公开药物分子结构。至4月27日，允许中国仿制此药用于治疗冠状病毒患者”不实，据@环球时报 记者发现这事并不存在。详情：https://weibo.com/1974576991/IsuVnAjmV，被举报人言论构成“发布不实信息”。现根据《微博举报投诉操作细则》（<http://service.account.weibo.com/roles/guiding>）第19条，对被举报人处理如下：扣除信用积分2分。上述处理在公布后60分钟内生效,2月3日,谈心君,https://weibo.com/5721200433/IsoWvliqT?type=comment,80
经查，此视频称“顺丰快递员拦截N95口罩”不实，@盘龙警博 已发布警情通报：张某杰、苗某任两人非顺丰员工，口罩叫卖视频为自编自演。详情：https://weibo.com/1960075653/IrSFnj3oa，被投诉人言论构成“发布不实信息”。现根据《微博投诉操作细则》（http://service.account.weibo.com/roles/xize）第19条，对被投诉人处理如下：扣除信用积分2分。上述处理在公布后60分钟内生效。,1月29日,马文先生,https://weibo.com/6154171029/IrLE6AiZV?type=comment,475
经查，此微博称“同济应急小组组长进行专业指导”不实，@武汉新闻广播 已辟谣：记者向华中科技大学同济医学院附属同济医院求证，此消息不实。详情：https://weibo.com/2286386250/Irakkh9XT。被投诉人言论构成“发布不实信息”。现根据《微博投诉操作细则》（http://service.account.weibo.com/roles/xize）第19条，对被投诉人处理如下：扣除信用积分2分。上述处理在公布后60分钟内生效。,1月27日,武汉刘正涛 ,https://weibo.com/2014878391/IrnSL61Lr?type=comment,74
经查，此微博称“在泰的中国湖北游客的签证最长可以延期两个月”不实，@泰国头条新闻 已辟谣：泰移民局表示“落地签可以续签15天、旅游签续签60天”纯属谣言。详情：https://weibo.com/3500618431/Irjy8yW5R。被投诉人言论构成“发布不实信息”。现根据《微博投诉操作细则》（http://service.account.weibo.com/roles/xize）第19条，对被投诉人处理如下：扣除信用积分10分，禁言15天，禁被关注15天。上述处理在公布后60分钟内生效。,1月26日,大越楚卿 ,https://weibo.com/6513039271/Irhj441G7?type=comment#_rnd1604235791202,168
经查，此微博称“湖北游客若不想回国，泰国移民局可配合最长续签两个月”不实，@泰国头条新闻 已辟谣：泰移民局表示“落地签可以续签15天、旅游签续签60天”纯属谣言。详情：https://weibo.com/3500618431/Irjy8yW5R。被投诉人言论构成“发布不实信息”。现根据《微博投诉操作细则》（http://service.account.weibo.com/roles/xize）第19条，对被投诉人处理如下：扣除信用积分10分，禁言15天，禁被关注15天。上述处理在公布后60分钟内生效。,1月26日,泰国事儿君,https://weibo.com/1768564452/Irh0MiBEf?type=comment#_rnd1604235834797,1722
经查，此微博称“湖北省襄阳市当地疑似感染的病人把唾沫吐在电梯按钮上”不实，@襄阳网警巡查执法 已辟谣：医院检查身体一切正常。详情：https://weibo.com/3151104312/IqWiS0M3Y。被投诉人言论构成“发布不实信息”。现根据《微博投诉操作细则》（http://service.account.weibo.com/roles/xize）第19条，对被投诉人处理如下：扣除信用积分5分，禁言7天，禁被关注7天。上述处理在公布后60分钟内生效,1月24日,神奇事 ,https://weibo.com/3488787807/IqV15ahlk?type=comment#_rnd1604279898240,73
"经查，此微博配图称“周杰伦福州演唱会，给自己整了个隔离舱”不实，图片实为福建长乐机场发现1名疑似肺炎患者,用隔离箱运上救护车。详情：https://weibo.com/6124642021/IqPEdo3TQ。被投诉人言论构成“发布不实信息”且情节恶劣。现根据《微博投诉操作细则》（http://service.account.weibo.com/roles/xize）第19条，对被投诉人处理如下：扣除信用积分10分，禁言30天，禁被关注30天。上述处理在公布后60分钟内生效。",1月23日,八组兔区一哥,https://weibo.com/2751060434/IqPXXCzEH?type=comment#_rnd1604279949991,152
经查，该微博发视频称“传为美激光拦截伊朗导弹”不实，@捉谣记 已辟谣：经查证，这段视频是战术动作游戏“武装突袭3”（Arma3）密集防空火炮操作的画面，去年曾经出现在视频网站上，详情：https://weibo.com/6590980486/IoSaR982t，被举报人言论属于构成“发布不实信息”，现根据《微博举报投诉操作细则》（http://service.account.weibo.com/roles/guiding）第19条，对被举报人处理如下：扣除信用积分2分。上述处理在公布后60分钟内生效。,1月16日,何新老家伙 ,https://weibo.com/1265708323/IpMREzpOH?type=comment,110
