key,S,E,I,Z
0,24943070,0,1,0
1,22875206,848,9,2067008
2,22867736,836,21,2074478
3,22850335,827,30,2091879
4,22845427,814,43,2096787
5,22841163,801,56,2101051
6,22600476,795,62,2341738
7,22595411,786,71,2346803
8,22591647,777,80,2350567
9,22461855,767,90,2480359
10,22438169,755,102,2504045
11,22436972,747,110,2505242
12,22435350,744,113,2506864
13,22434093,738,119,2508121
14,22433422,734,123,2508792
15,22312012,727,130,2630202
16,22308707,724,133,2633507
17,22308118,718,139,2634096
18,22307447,712,145,2634767
19,22304832,708,149,2637382
20,22303822,703,154,2638392
21,22300740,697,160,2641474
22,22300062,691,166,2642152
23,22298505,687,170,2643709
24,22286045,684,173,2656169
25,22285174,679,178,2657040
26,22284507,676,181,2657707
27,22280844,671,186,2661370
28,22279584,666,191,2662630
29,22278780,663,194,2663434
30,22278181,659,198,2664033
31,22237608,650,207,2704606
32,22235726,644,213,2706488
33,22234867,641,216,2707347
34,22233512,637,220,2708702
35,22232645,635,222,2709569
36,22229951,631,226,2712263
37,22229297,629,228,2712917
38,22228935,627,230,2713279
39,22228635,622,235,2713579
40,22095596,619,238,2846618
41,22075655,616,241,2866559
42,22074195,613,244,2868019
43,22072996,610,247,2869218
44,22072129,603,254,2870085
45,22069926,601,256,2872288
46,22066299,598,259,2875915
47,22066225,597,260,2875989
48,22065939,596,261,2876275
49,22064670,592,265,2877544
50,22062561,587,270,2879653
51,22062193,585,272,2880021
52,22059215,581,276,2882999
53,22056798,578,279,2885416
54,22047753,572,285,2894461
55,22046684,569,288,2895530
56,22046132,566,291,2896082
57,22040688,560,297,2901526
58,22039824,555,302,2902390
59,22039400,554,303,2902814
60,22016919,550,307,2925295
61,22016919,550,307,2925295
62,22015277,547,310,2926937
63,22012632,544,313,2929582
64,22011900,540,317,2930314
65,22009711,534,323,2932503
66,22008979,532,325,2933235
67,20882491,528,329,4059723
68,20881852,523,334,4060362
69,20849680,517,340,4092534
70,20844571,513,344,4097643
71,20844475,510,347,4097739
72,20843356,503,354,4098858
73,20843275,501,356,4098939
74,20843275,501,356,4098939
75,20840788,496,361,4101426
76,20840176,493,364,4102038
77,20839820,490,367,4102394
78,20839763,488,369,4102451
79,20837210,484,373,4105004
80,20837092,482,375,4105122
81,20483343,480,377,4458871
82,20446254,475,382,4495960
83,20443227,471,386,4498987
84,20443108,469,388,4499106
85,20441480,463,394,4500734
86,20441462,462,395,4500752
87,20428976,460,397,4513238
88,20427661,455,402,4514553
89,20426717,450,407,4515497
90,20426519,449,408,4515695
91,20426003,446,411,4516211
92,20425985,444,413,4516229
93,20425668,442,415,4516546
94,20425668,442,415,4516546
95,20425597,441,416,4516617
96,20424721,437,420,4517493
97,20424417,436,421,4517797
98,20424417,436,421,4517797
99,20423904,434,423,4518310
100,20423251,433,424,4518963
101,20423243,432,425,4518971
102,12954304,428,429,11987910
103,12951318,420,437,11990896
104,12935671,409,448,12006543
105,12933013,399,458,12009201
106,12929594,388,469,12012620
107,12831509,381,476,12110705
108,12829388,377,480,12112826
109,12828441,375,482,12113773
110,12825357,372,485,12116857
111,12821114,364,493,12121100
112,12820355,361,496,12121859
113,12820337,360,497,12121877
114,12819950,357,500,12122264
115,12819155,355,502,12123059
116,12663933,351,506,12278281
117,12663851,350,507,12278363
118,12663557,349,508,12278657
119,12663332,348,509,12278882
120,12662877,347,510,12279337
121,12274796,344,513,12667418
122,12272736,340,517,12669478
123,12272168,338,519,12670046
124,12266895,336,521,12675319
125,12266343,331,526,12675871
126,12257923,328,529,12684291
127,12257034,325,532,12685180
128,12256323,323,534,12685891
129,12255996,319,538,12686218
130,12255354,316,541,12686860
131,12213561,310,547,12728653
132,12206295,309,548,12735919
133,12206295,309,548,12735919
134,12203945,307,550,12738269
135,12202943,304,553,12739271
136,12201661,301,556,12740553
137,12200506,298,559,12741708
138,12200332,297,560,12741882
139,12200332,297,560,12741882
140,12199936,294,563,12742278
141,12199936,294,563,12742278
142,12199936,294,563,12742278
143,12052616,291,566,12889598
144,11934082,286,571,13008132
145,11933756,284,573,13008458
146,11723182,281,576,13219032
147,9935651,275,582,15006563
148,9325615,268,589,15616599
149,9324443,265,592,15617771
150,9320785,259,598,15621429
151,9319836,254,603,15622378
152,9319220,251,606,15622994
153,9290171,246,611,15652043
154,9288623,241,616,15653591
155,9191794,234,623,15750420
156,9191522,233,624,15750692
157,9189394,229,628,15752820
158,9189154,228,629,15753060
159,9189038,227,630,15753176
160,9187742,226,631,15754472
161,9185027,224,633,15757187
162,9184953,222,635,15757261
163,9181693,214,643,15760521
164,9180840,212,645,15761374
165,9178792,206,651,15763422
166,9172431,203,654,15769783
167,9167787,199,658,15774427
168,9164874,195,662,15777340
169,9163833,193,664,15778381
170,9162760,191,666,15779454
171,9162689,190,667,15779525
172,9162456,189,668,15779758
173,9161646,184,673,15780568
174,9160328,181,676,15781886
175,9159796,179,678,15782418
176,9159318,177,680,15782896
177,9127630,172,685,15814584
178,9127103,171,686,15815111
179,9125602,164,693,15816612
180,9124995,161,696,15817219
181,9124995,161,696,15817219
182,9113739,158,699,15828475
183,9111762,155,702,15830452
184,8975981,153,704,15966233
185,8970642,149,708,15971572
186,8969722,147,710,15972492
187,8969499,145,712,15972715
188,8968199,143,714,15974015
189,8967579,139,718,15974635
190,8966917,135,722,15975297
191,8966689,134,723,15975525
192,8966569,133,724,15975645
193,8965720,130,727,15976494
194,8965720,130,727,15976494
195,8964471,128,729,15977743
196,8964044,125,732,15978170
197,8963627,124,733,15978587
198,8962612,121,736,15979602
199,8962357,120,737,15979857
200,8955268,118,739,15986946
201,8954943,117,740,15987271
202,8953876,113,744,15988338
203,8952496,111,746,15989718
204,8952496,111,746,15989718
205,8952275,110,747,15989939
206,8951905,109,748,15990309
207,8949825,107,750,15992389
208,8949825,107,750,15992389
209,8949825,107,750,15992389
210,8949515,105,752,15992699
211,8949515,105,752,15992699
212,8949443,103,754,15992771
213,8949443,103,754,15992771
214,8949443,103,754,15992771
215,8949269,102,755,15992945
216,8949241,101,756,15992973
217,8936516,99,758,16005698
218,8936516,99,758,16005698
219,8936343,98,759,16005871
220,8936343,98,759,16005871
221,8935303,97,760,16006911
222,8933404,95,762,16008810
223,249526,91,766,24692688
224,246212,90,767,24696002
225,245894,89,768,24696320
226,245866,88,769,24696348
227,245866,88,769,24696348
228,244222,85,772,24697992
229,244218,84,773,24697996
230,244127,83,774,24698087
231,244008,82,775,24698206
232,242962,80,777,24699252
233,242367,79,778,24699847
234,242234,78,779,24699980
235,240449,77,780,24701765
236,239583,76,781,24702631
237,238532,74,783,24703682
238,153425,73,784,24788789
239,153413,72,785,24788801
240,152632,68,789,24789582
241,152024,65,792,24790190
242,151562,64,793,24790652
243,61546,60,797,24880668
244,61113,59,798,24881101
245,59145,56,801,24883069
246,58581,52,805,24883633
247,58476,51,806,24883738
248,58086,49,808,24884128
249,57765,46,811,24884449
250,57634,45,812,24884580
251,57442,44,813,24884772
252,23888,40,817,24918326
253,8203,37,820,24934011
254,6760,34,823,24935454
255,6753,33,824,24935461
256,6135,32,825,24936079
257,6120,31,826,24936094
258,4461,29,828,24937753
259,4198,26,831,24938016
260,3839,23,834,24938375
261,3839,23,834,24938375
262,3593,21,836,24938621
263,3426,20,837,24938788
264,3421,19,838,24938793
265,2990,17,840,24939224
266,2943,15,842,24939271
267,2635,14,843,24939579
268,2383,13,844,24939831
269,2122,11,846,24940092
270,2122,11,846,24940092
271,1920,10,847,24940294
272,1920,10,847,24940294
273,1920,10,847,24940294
274,1920,10,847,24940294
275,1708,9,848,24940506
276,1402,7,850,24940812
277,1286,6,851,24940928
278,1279,5,852,24940935
279,1279,5,852,24940935
280,1277,4,853,24940937
281,1277,4,853,24940937
282,1277,4,853,24940937
283,1277,4,853,24940937
284,1277,4,853,24940937
285,834,3,854,24941380
286,834,3,854,24941380
287,834,3,854,24941380
288,834,3,854,24941380
289,834,3,854,24941380
290,307,2,855,24941907
291,307,2,855,24941907
292,307,2,855,24941907
293,307,2,855,24941907
294,307,2,855,24941907
295,307,2,855,24941907
296,307,2,855,24941907
297,307,2,855,24941907
298,307,2,855,24941907
299,307,2,855,24941907
300,1,0,857,24942213
